epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
1,2.5594215042020645,2.357860271218801,0.17195197044334976,0.22930717351318208,0.15508119574865667,0.14576584543592105
2,2.266517625118326,2.1576750620532663,0.2563115763546798,0.31698344573881054,0.2324146386442382,0.2482396838766043
3,2.123847510331979,2.05449082645297,0.30711206896551724,0.3237277743715512,0.28616478258994893,0.2480921589913109
4,2.018305420436742,1.997270686578195,0.3399014778325123,0.35683629675045986,0.32056020096805743,0.31038575332335266
5,1.9295632298007332,1.9474423704960095,0.36976600985221675,0.38503985285101167,0.35713280418788024,0.3499332986603451
6,1.849482276542055,1.8914916891031364,0.40317118226600984,0.38320049049662785,0.39395474349005816,0.3554845553874298
7,1.7861178877894863,1.8591947090691543,0.43011083743842365,0.4034334763948498,0.4218760730256577,0.3771615429266427
8,1.7354173859204252,1.8308841726810636,0.4527401477832512,0.4132434089515635,0.4449964194715608,0.39382746009544645
9,1.687011825818957,1.8166012456269442,0.46551724137931033,0.42795830778663396,0.4594132779341642,0.4111744238897729
10,1.6581950275444546,1.8124750080026781,0.47829433497536944,0.4353157572041692,0.4703109659505409,0.41441880725379043
11,1.821205391913104,1.921980411928903,0.41594827586206895,0.37584304107909255,0.40830574522172464,0.34217288478661306
12,1.8049834725315586,1.8759065456437158,0.4251847290640394,0.39546290619251995,0.41906671835387355,0.3740423779411326
13,1.7575171681269546,1.8522581093739616,0.4399630541871921,0.4028203556100552,0.4330340127604985,0.3658105077946215
14,1.7187410553540188,1.840903174577499,0.45058497536945813,0.40956468424279585,0.44432359595493903,0.377722510291742
15,1.6985795957179157,1.832828167682042,0.4570504926108374,0.41385652973635806,0.45287779857234556,0.37505210260016963
16,1.6480138585611355,1.8536687891297658,0.4861453201970443,0.41385652973635806,0.4814437205961186,0.4028573133783799
17,1.610253704983764,1.8583940622047879,0.49830665024630544,0.40588595953402823,0.4940635236913783,0.3637562188556912
18,1.574734904283395,1.8164239961775002,0.5036945812807881,0.4322501532801962,0.4980599698845533,0.4036295693323637
19,1.5414857214945226,1.7883669395961328,0.5217056650246306,0.45432250153280196,0.5187990651214609,0.43603530582553157
20,1.506268765151135,1.7974860894029525,0.5404864532019704,0.4512568976088289,0.5369061836975458,0.4326652354949913
21,1.4719839189681538,1.7897022448749647,0.5512623152709359,0.44819129368485594,0.5491515525084527,0.41715921543001333
22,1.429507159016615,1.7998998437024274,0.5640394088669951,0.45003065603923975,0.5619224026261112,0.427511497705252
23,1.414099455172299,1.7855840385654527,0.5765086206896551,0.45432250153280196,0.5711968081279082,0.4366708570214244
24,1.372117455605349,1.7789678772412363,0.593134236453202,0.47455548743102394,0.5903504461213134,0.45704197312643285
25,1.3370105205138036,1.8053761309162377,0.6203817733990148,0.46719803801348864,0.6174584597765256,0.4435601955842405
